model_id,hidden_units,accuracy_train,mse_train,accuracy_test,mse_test,accuracy_holdout,mse_holdout
6839,20,0.9946667551994324,0.0040679923258721,0.9818412661552428,0.0137383937835693,0.9822381138801576,0.0134904952719807
6728,40,0.9959524273872375,0.0030016945675015,0.9847129583358764,0.0120765846222639,0.987125039100647,0.0104735093191266
3445,40,0.9965000152587892,0.0028531772550195,0.9841497540473938,0.0124679170548915,0.9849583506584167,0.0114706819877028
5403,40,0.9979106783866882,0.0018124971538782,0.9850860238075256,0.0120071172714233,0.98568457365036,0.0112278424203395
7398,40,0.9972023963928224,0.0021115539129823,0.9844716191291808,0.0123452674597501,0.986005961894989,0.0110761113464832
7281,40,0.9956488609313964,0.003091023536399,0.9846409559249878,0.0121506564319133,0.9869820475578308,0.0103830071166157
8742,20,0.995618999004364,0.0033053974620997,0.9819401502609252,0.0141201047226786,0.9831131100654602,0.0131699834018945
1482,40,0.9966726303100586,0.0025046372320502,0.9843003153800964,0.0125284818932414,0.9848451614379884,0.0115683628246188
9440,20,0.9966726303100586,0.0029061350505799,0.9822743535041808,0.0139131443575024,0.9833690524101256,0.0128964185714721
8515,20,0.9956250190734864,0.0034444853663444,0.9829463958740234,0.0134112043306231,0.9840892553329468,0.0125344572588801
6771,30,0.9963749647140504,0.0030552358366549,0.9844810366630554,0.0121945664286613,0.9849761724472046,0.0114368135109543
727,40,0.9963036775588988,0.0028259637765586,0.9847019910812378,0.01187798473984,0.9860594868659972,0.0110041610896587
9963,30,0.996874988079071,0.0024813523050397,0.9836693406105042,0.0129050808027386,0.9858571290969848,0.0111410897225141
3289,20,0.9957677721977234,0.0033854297362267,0.9834866523742676,0.0127711370587348,0.9843929409980774,0.0114681590348482
4210,40,0.9965178370475768,0.0025188310537487,0.98463374376297,0.0121999764814972,0.98524409532547,0.0112391589209437
1710,30,0.9962857365608216,0.0028972211293876,0.9834339022636414,0.0128608187660574,0.9847142100334167,0.0119071491062641
1883,30,0.9960833787918092,0.0031455436255782,0.9834218621253968,0.0129603371024131,0.9832977056503296,0.0124699082225561
