Representational Capacity,Mean (Z),SD (Z),Min (Z),Max (Z)
20,0.004 (1.06),0.0004 (.68),0.003 (-1.28),0.006 (3.90)
30,0.003 (-.35),0.0003 (.63),0.002 (-2.65),0.005 (2.58)
40,0.003 (-.71),0.0003 (.63),0.002 (-3.04),0.005 (2.12)
