Set,Mean (Z),SD (Z),Minimum (Z),Maximum (Z)
Train,.0029 (-11.8),0.00048 (.62),0.0013 (-13.9),.005 (-9.04)
Generalization,.012 (0),0.00076 (1),.0093 (-3.39),.015 (4.03)
