Set,Mean (Z),SD (Z),Minimum (Z),Maximum (Z)
Train,.004 (-.99),.001 (.12),.002 (-1.36),.006 (-0.52)
Generalization,.013 (.99),.001 (.17),.01 (.39),.02 (1.75)
